,Year,Latitude,Longitude,Date,TOTN,TOTP,TOTK,GWSO,TOTIRRIG,DVS,LAI,RD,WSO,NAVAIL,PAVAIL,KAVAIL,WC,SM,IRRAD,TMIN,TMAX,TEMP,VAP,RAIN,WIND,Days Elapsed,Rewards
3257,1999,50.0,5.0,04/01/1999,0.0,0.0,0.0,0.0,0.0,0.15974459,0.078934245,116.8,0.0,15.7886095,17.669418,13.478219,53.695724,0.45972365,18350000.0,3.58,15.68,9.12,9.547099,0.0,2.34,89.0,0.0
3258,1999,50.0,5.0,04/02/1999,0.0,0.0,0.0,0.0,0.0,0.17001794,0.08502484,118.0,0.0,15.605647,17.70879,13.021295,54.215984,0.4594575,18080000.0,3.87,15.59,9.55,9.580116,0.0,4.13,90.0,0.0
3259,1999,50.0,5.0,04/03/1999,0.0,0.0,0.0,0.0,0.0,0.18090235,0.091824405,119.2,0.0,15.398884,17.74356,12.516768,54.73987,0.45922706,16820000.0,4.6,16.2,9.87,10.633075,0.081,2.61,91.0,0.0
3260,1999,50.0,5.0,04/04/1999,0.0,0.0,0.0,0.0,0.0,0.1922825,0.09941527,120.0,0.0,15.166685,17.773396,11.96137,55.1642,0.45970166,7630000.0,5.76,12.54,9.65,11.234767,0.543,3.3,92.0,0.0
3261,1999,50.0,5.0,04/05/1999,0.0,0.0,0.0,0.0,0.0,0.20353714,0.10467258,120.0,0.0,15.040263,17.823153,11.617526,55.613926,0.4634494,10850000.0,7.3,13.27,10.23,11.364785,0.151,2.4,93.0,0.0
3262,1999,50.0,5.0,04/06/1999,0.0,0.0,0.0,0.0,0.0,0.21560416,0.113267735,120.0,0.0,14.786076,17.848516,11.01815,55.351,0.46125832,5950000.0,6.01,13.73,10.34,11.970417,0.132,2.6,94.0,0.0
3263,1999,50.0,5.0,04/07/1999,0.0,0.0,0.0,0.0,0.0,0.22793834,0.11948826,120.0,0.0,14.635362,17.893438,10.625723,55.332,0.4611,10660000.0,8.11,16.22,11.57,12.387009,0.155,3.41,95.0,0.0
3264,1999,50.0,5.0,04/08/1999,0.0,0.0,0.0,0.0,0.0,0.24189357,0.13077739,120.0,0.0,14.30205,17.903332,9.868099,55.332886,0.46110737,7870000.0,4.13,9.32,7.02,9.2288,0.354,3.62,96.0,0.0
3265,1999,50.0,5.0,04/09/1999,0.0,0.0,0.0,0.0,0.0,0.25045413,0.13847709,120.0,0.0,14.114198,17.940863,9.401395,55.554,0.46295,10830000.0,2.95,11.47,6.7,8.919891,0.059,2.82,97.0,0.0
3266,1999,50.0,5.0,04/10/1999,0.0,0.0,0.0,0.0,0.0,0.2587135,0.1491318,120.0,0.0,13.827733,17.959341,8.737466,55.259,0.46049166,17150000.0,2.02,15.61,9.12,8.39971,0.0,0.88,98.0,0.0
3267,1999,50.0,5.0,04/11/1999,0.0,0.0,0.0,0.0,0.0,0.27007738,0.16777472,120.0,0.0,13.266428,17.924776,7.5238566,55.172295,0.45976913,11570000.0,5.44,13.37,9.68,10.764275,0.109,2.49,99.0,0.0
3268,1999,50.0,5.0,04/12/1999,0.0,0.0,0.0,0.0,0.0,0.28226766,0.18367001,120.0,0.0,12.810567,17.910223,6.521133,55.259888,0.46049908,12400000.0,3.45,10.34,7.21,8.512272,0.09,3.28,100.0,0.0
